/index.php            (Status: 200) [Size: 5214]
/themes               (Status: 301) [Size: 239] [--> http://jacobtheboss.box/themes/]
/public               (Status: 301) [Size: 239] [--> http://jacobtheboss.box/public/]
/admin                (Status: 301) [Size: 238] [--> http://jacobtheboss.box/admin/]
/plugins              (Status: 403) [Size: 209]
/db                   (Status: 403) [Size: 204]
/cache                (Status: 403) [Size: 207]
/inc                  (Status: 403) [Size: 205]
/LICENSE              (Status: 200) [Size: 17987]
/var                  (Status: 403) [Size: 205]
/CHANGELOG            (Status: 200) [Size: 47513]
/CREDITS              (Status: 200) [Size: 817]
/locales              (Status: 301) [Size: 240] [--> http://jacobtheboss.box/locales/]
